normalized_exercise_base_name,weight_training_representative_name,manual_muscle_group,justification
hammer seated row close grip,Hammer seated row (CLOSE GRIP),back,"Machine de rowing assis (marque Hammer Strength) prise serree - tirage horizontal, meme famille que Seated Row/Bent Over Row du catalogue mais variante machine specifique absente du catalogue."
leg press hinge,Leg press (hinge ),knee,"Variante de leg press orientee hanche/genou en presse - meme famille que Leg Press du catalogue, variante 'hinge' absente."
seated row close grip,Seated Cable Row (close Grip),back,"Variante prise serree du Seated Row (Cable) deja present au catalogue, meme mouvement de tirage horizontal."
leg outward fly,Leg outward fly,legs,"Machine d'abduction de hanche (ecartement lateral en position assise) - sollicite fessiers/hanches, pas de correspondance exacte au catalogue."
neutral chin,Neutral Chin,back,"Traction prise neutre (paumes face a face) - variante de grip du Chin Up/Pull Up deja present au catalogue."
hammer row wide grip,Hammer Row - Wide Grip,back,"Rowing machine Hammer Strength prise large - meme famille que Bent Over Row, variante machine absente du catalogue."
hammer high row 1 arm,Hammer High Row - 1 Arm,back,"Rowing machine Hammer Strength unilateral position haute - meme famille que les autres variantes Hammer Row deja mappees."
low incline bench,Low Incline Dumbbell Bench,chest,"Developpe couche a faible inclinaison (mouvement de poussee pectoraux) - le candidat fuzzy retenu automatiquement ('Incline Bench Row', 94.1%) a ete verifie et rejete manuellement car c'est un mouvement de TIRAGE (row), pas de poussee : faux positif du fuzzy matching corrige ici."
hammer seated row,Hammer seated row,back,"Rowing machine Hammer Strength assis - meme famille que hammer seated row close grip ci-dessus."
hammer lat pulldown,Hammer lat pulldown,back,"Tirage vertical machine Hammer Strength - meme famille que Lat Pulldown deja present au catalogue."
rack pull 2 pin,Rack Pull 2 Pin,lower_back,"Souleve partiel depuis des pins reglables (variante de deadlift partiel) - meme famille que Deadlift/Romanian Deadlift deja presents au catalogue."
hammer back row wide 45 angle,Hammer back row wide 45 angle,back,"Rowing machine Hammer Strength, angle 45 degres, prise large - meme famille que les autres variantes Hammer Row."
sling shot bench,Sling Shot Bench,chest,"Developpe couche assiste par bande elastique (marque Sling Shot) - mouvement de poussee pectoraux identique au Bench Press deja present au catalogue."
military press standing,Military Press (Standing),shoulder,"Developpe militaire en position debout - meme mouvement que Overhead Press/Military Press deja present au catalogue (variante de position)."
glute extension,Glute extension.,legs,"Extension de hanche ciblant les fessiers - mouvement distinct du Leg Extension (qui cible les quadriceps) malgre la proximite textuelle : le candidat fuzzy retenu automatiquement (85.7%, 'Leg Extension') a ete verifie et rejete manuellement (faux positif), classe ici directement en 'legs' (fessiers)."
